video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favouriteCount,commentCount,duration,definition,caption,pushblishDayName,durationSecs,tagCount
Qf06XDYXCXI,StatQuest with Josh Starmer,Word Embedding in PyTorch + Lightning,"Word embedding is the first step in lots of neural networks, including Transformers (like ChatGPT) and other state of the models. Here we learn how to code a stand alone word embedding network from scratch and with nn.Linear. We then learn how to load and use pre-trained word embedding values with nn.Embedding.

NOTE: This StatQuest assumes that you are already familiar with Word Embedding, if not, check out the 'Quest: https://youtu.be/viZrOnJclY0

If you'd like to support StatQuest, please consider...
Patreon: https://www.patreon.com/statquest
...or...
YouTube Membership: https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw/join

...buying my book, a study guide, a t-shirt or hoodie, or a song from the StatQuest store...
https://statquest.org/statquest-store/

...or just donating to StatQuest!
paypal: https://www.paypal.me/statquest
venmo: @JoshStarmer

Lastly, if you want to keep up with me as I research and create new StatQuests, follow me on twitter:
https://twitter.com/joshuastarmer

0:00 Awesome song and introduction
1:53 Importing modules
2:48 Encoding the training data
6:55 Word Embedding from scratch
16:54 Graphing the embedding values
21:17 Printing out predicted words
20:37 Word Embedding with nn.Linear
28:12 Loading and using pre-trained Embedding values with nn.Embedding

#StatQuest #neuralnetworks #transformers","['Josh Starmer', 'StatQuest', 'Machine Learning', 'Statistics', 'Data Science']",2023-11-06 13:03:55+00:00,15626.0,383.0,,51.0,PT32M2S,hd,false,Monday,1922,5
rC9vw2dSpQo,StatQuest with Josh Starmer,"The Golden Play Button, Clearly Explained!!!’","The Golden Play Button is usually super confusing. In this video, we break it down and walk you through it one-step-at-a-time. By the end of this StatQuest, you'll completely understand The Golden Play Button.","['StatQuest', 'PlayButton']",2023-10-07 00:30:48+00:00,20123.0,2156.0,,524.0,PT2M30S,hd,false,Saturday,150,2
Ka04Dj7DxGk,StatQuest with Josh Starmer,Another 3 lessons from my Pop!!!,"Since September 4th is Global Frank Starmer Day (and also his birthday), I thought we'd celebrate by talking about another three lessons that influenced my older sister and my older brothers.

If you'd like to support StatQuest, please consider...
Patreon: https://www.patreon.com/statquest
...or...
YouTube Membership: https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw/join

...buying my book, a study guide, a t-shirt or hoodie, or a song from the StatQuest store...
https://statquest.org/statquest-store/

...or just donating to StatQuest!
paypal: https://www.paypal.me/statquest
venmo: @JoshStarmer

Lastly, if you want to keep up with me as I research and create new StatQuests, follow me on twitter:
https://twitter.com/joshuastarmer

0:00 Awesome song and introduction
0:52 To solve problems, draw a picture
2:46 To remember, draw a picture
4:24 To solve a problem, start.

#StatQuest","['Josh Starmer', 'StatQuest', 'Machine Learning', 'Statistics', 'Data Science']",2023-09-04 04:00:16+00:00,9965.0,339.0,,54.0,PT6M46S,hd,false,Monday,406,5
bQ5BoolX9Ag,StatQuest with Josh Starmer,"Decoder-Only Transformers, ChatGPTs specific Transformer, Clearly Explained!!!","Transformers are taking over AI right now, and quite possibly their most famous use is in ChatGPT. ChatGPT uses a specific type of Transformer called a Decoder-Only Transformer, and this StatQuest shows you how they work, one step at a time. And at the end (at 32:14), we talk about the differences between a Normal Transformer and a Decoder-Only Transformer. BAM!

NOTE: If you're interested in learning more about Backpropagation, check out these 'Quests:
The Chain Rule: https://youtu.be/wl1myxrtQHQ
Gradient Descent: https://youtu.be/sDv4f4s2SB8
Backpropagation Main Ideas: https://youtu.be/IN2XmBhILt4
Backpropagation Details Part 1: https://youtu.be/iyn2zdALii8
Backpropagation Details Part 2: https://youtu.be/GKZoOHXGcLo

If you're interested in learning more about the SoftMax function, check out:
https://youtu.be/KpKog-L9veg

If you're interested in learning more about Word Embedding, check out: https://youtu.be/viZrOnJclY0

If you'd like to learn more about calculating similarities in the context of neural networks and the Dot Product, check out:
Cosine Similarity: https://youtu.be/e9U0QAFbfLI
Attention: https://youtu.be/PSs6nxngL6k

If you'd like to learn more about Normal Transformers, see: https://youtu.be/zxQyTK8quyY

If you'd like to support StatQuest, please consider...
Patreon: https://www.patreon.com/statquest
...or...
YouTube Membership: https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw/join

...buying my book, a study guide, a t-shirt or hoodie, or a song from the StatQuest store...
https://statquest.org/statquest-store/

...or just donating to StatQuest!
paypal: https://www.paypal.me/statquest
venmo: @JoshStarmer

Lastly, if you want to keep up with me as I research and create new StatQuests, follow me on twitter:
https://twitter.com/joshuastarmer

0:00 Awesome song and introduction
1:34 Word Embedding
7:26 Position Encoding
10:10 Masked Self-Attention, an Autoregressive method
22:35 Residual Connections
23:00 Generating the next word in the prompt
26:23 Review of encoding and generating the prompt
27:20 Generating the output, Part 1
28:46 Masked Self-Attention while generating the output
30:40 Generating the output, Part 2
32:14 Normal Transformers vs Decoder-Only Transformers

#StatQuest","['Josh Starmer', 'StatQuest', 'Machine Learning', 'Statistics', 'Data Science', 'ChatGTP', 'Transformers', 'AI', 'LLM', 'Large Language Models']",2023-08-28 04:00:30+00:00,48006.0,1420.0,,190.0,PT36M45S,hd,false,Monday,2205,10
zxQyTK8quyY,StatQuest with Josh Starmer,"Transformer Neural Networks, ChatGPT's foundation, Clearly Explained!!!","Transformer Neural Networks are the heart of pretty much everything exciting in AI right now. ChatGPT, Google Translate and many other cool things, are based on Transformers. This StatQuest cuts through all the hype and shows you how a Transformer works, one-step-at-a time.

NOTE: If you're interested in learning more about Backpropagation, check out these 'Quests:
The Chain Rule: https://youtu.be/wl1myxrtQHQ
Gradient Descent: https://youtu.be/sDv4f4s2SB8
Backpropagation Main Ideas: https://youtu.be/IN2XmBhILt4
Backpropagation Details Part 1: https://youtu.be/iyn2zdALii8
Backpropagation Details Part 2: https://youtu.be/GKZoOHXGcLo

If you're interested in learning more about the SoftMax function, check out:
https://youtu.be/KpKog-L9veg

If you're interested in learning more about Word Embedding, check out: https://youtu.be/viZrOnJclY0

If you'd like to learn more about calculating similarities in the context of neural networks and the Dot Product, check out:
Cosine Similarity: https://youtu.be/e9U0QAFbfLI
Attention: https://youtu.be/PSs6nxngL6k

If you'd like to support StatQuest, please consider...
Patreon: https://www.patreon.com/statquest
...or...
YouTube Membership: https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw/join

...buying my book, a study guide, a t-shirt or hoodie, or a song from the StatQuest store...
https://statquest.org/statquest-store/

...or just donating to StatQuest!
paypal: https://www.paypal.me/statquest
venmo: @JoshStarmer

Lastly, if you want to keep up with me as I research and create new StatQuests, follow me on twitter:
https://twitter.com/joshuastarmer

0:00 Awesome song and introduction
1:26 Word Embedding
7:30 Positional Encoding
12:53 Self-Attention
23:37 Encoder and Decoder defined
23:53 Decoder Word Embedding
25:08 Decoder Positional Encoding
25:50 Transformers were designed for parallel computing
27:13 Decoder Self-Attention
27:59 Encoder-Decoder Attention
31:19 Decoding numbers into words
32:23 Decoding the second token
34:13 Extra stuff you can add to a Transformer

#StatQuest #Transformer #ChatGPT","['Josh Starmer', 'StatQuest', 'Machine Learning', 'Neural Networks', 'ChatGPT', 'Transformers', 'LLM', 'Large Language Model']",2023-07-24 04:00:34+00:00,267936.0,7998.0,,767.0,PT36M15S,hd,true,Monday,2175,8
8ZcccMzTz7Y,StatQuest with Josh Starmer,What is a Logit?,"I used to see references to logit values or logits, and was like, ""What the heck are those?"". Well, now I've got everything cleared up with this song. BAM!

If you'd like to support StatQuest, please consider...
Patreon: https://www.patreon.com/statquest
...or...
YouTube Membership: https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw/join

...buying my book, a study guide, a t-shirt or hoodie, or a song from the StatQuest store...
https://statquest.org/statquest-store/

...or just donating to StatQuest!
https://www.paypal.me/statquest

Lastly, if you want to keep up with me as I research and create new StatQuests, follow me on twitter:
https://twitter.com/joshuastarmer

#StatQuest","['Josh Starmer', 'StatQuest', 'Machine Learning', 'Statistics', 'Data Science']",2023-06-19 04:00:04+00:00,12360.0,478.0,,26.0,PT29S,hd,false,Monday,29,5
YaQEUgIr4Mk,StatQuest with Josh Starmer,Logistic vs Logit Functions,"Gosh, here are some terms that I could never get straight. But now I have this sweat tune to get stuck in my head and help me remember the difference between the Logistic and Logit functions. BAM!

If you'd like to support StatQuest, please consider...
Patreon: https://www.patreon.com/statquest
...or...
YouTube Membership: https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw/join

...buying my book, a study guide, a t-shirt or hoodie, or a song from the StatQuest store...
https://statquest.org/statquest-store/

...or just donating to StatQuest!
https://www.paypal.me/statquest

Lastly, if you want to keep up with me as I research and create new StatQuests, follow me on twitter:
https://twitter.com/joshuastarmer

#StatQuest","['Josh Starmer', 'StatQuest', 'Machine Learning', 'Statistics', 'Data Science']",2023-06-12 04:00:16+00:00,7962.0,352.0,,22.0,PT30S,hd,false,Monday,30,5
PSs6nxngL6k,StatQuest with Josh Starmer,"Attention for Neural Networks, Clearly Explained!!!","Attention is one of the most important concepts behind Transformers and Large Language Models, like ChatGPT. However, it's not that complicated. In this StatQuest, we add Attention to a basic Sequence-to-Sequence (Seq2Seq or Encoder-Decoder) model and walk through how it works and is calculated, one step at a time. BAM!!!

NOTE: This StatQuest is based on two manuscripts. 1) The manuscript that originally introduced Attention to Encoder-Decoder Models: Neural Machine Translation by Jointly Learning to Align and Translate: https://arxiv.org/abs/1409.0473 and 2) The manuscript that first used the Dot-Product similarity for Attention in a similar context: Effective Approaches to Attention-based Neural Machine Translation https://arxiv.org/abs/1508.04025

NOTE: This StatQuest assumes that you are already familiar with basic Encoder-Decoder neural networks. If not, check out the 'Quest: https://youtu.be/L8HKweZIOmg

If you'd like to support StatQuest, please consider...
Patreon: https://www.patreon.com/statquest
...or...
YouTube Membership: https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw/join

...buying my book, a study guide, a t-shirt or hoodie, or a song from the StatQuest store...
https://statquest.org/statquest-store/

...or just donating to StatQuest!
https://www.paypal.me/statquest

Lastly, if you want to keep up with me as I research and create new StatQuests, follow me on twitter:
https://twitter.com/joshuastarmer

0:00 Awesome song and introduction
3:14 The Main Idea of Attention
5:34 A worked out example of Attention
10:18 The Dot Product Similarity
11:52 Using similarity scores to calculate Attention values
13:27 Using Attention values to predict an output word
14:22 Summary of Attention

#StatQuest #neuralnetwork #attention","['Josh Starmer', 'StatQuest', 'Machine Learning', 'Statistics', 'Data Science']",2023-06-05 04:00:19+00:00,139104.0,3352.0,,332.0,PT15M51S,hd,true,Monday,951,5
953NHzFtGHc,StatQuest with Josh Starmer,Likelihood vs Probability,"In everyday life, we might act like Likelihood and Probability are the same, but in Statistics, Machine Learning and Data Science, they are two distinct concepts. This little song helps me keep them straight.

If you'd like to support StatQuest, please consider...
Patreon: https://www.patreon.com/statquest
...or...
YouTube Membership: https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw/join

...buying my book, a study guide, a t-shirt or hoodie, or a song from the StatQuest store...
https://statquest.org/statquest-store/

...or just donating to StatQuest!
https://www.paypal.me/statquest

Lastly, if you want to keep up with me as I research and create new StatQuests, follow me on twitter:
https://twitter.com/joshuastarmer

#StatQuest","['Josh Starmer', 'StatQuest', 'Machine Learning', 'Statistics', 'Data Science']",2023-05-15 04:00:08+00:00,19551.0,1425.0,,58.0,PT30S,hd,false,Monday,30,5
02zO75hHpZQ,StatQuest with Josh Starmer,p-values,"p-values are always a little more than people expect, and this song does everything it can to remind me and everyone of that fact. BAM!

If you'd like to support StatQuest, please consider...
Patreon: https://www.patreon.com/statquest
...or...
YouTube Membership: https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw/join

...buying my book, a study guide, a t-shirt or hoodie, or a song from the StatQuest store...
https://statquest.org/statquest-store/

...or just donating to StatQuest!
https://www.paypal.me/statquest

Lastly, if you want to keep up with me as I research and create new StatQuests, follow me on twitter:
https://twitter.com/joshuastarmer

#StatQuest","['Josh Starmer', 'StatQuest', 'Machine Learning', 'Statistics', 'Data Science']",2023-05-15 04:00:00+00:00,4755.0,240.0,,14.0,PT23S,hd,false,Monday,23,5
